Subject,Movie,pupil_size,MEGA_score,memorysource,recognition_accuracy,what_accuracy,where_accuracy_liberal,when_accuracy
RF42,mov48,-0.022236372,0.161913777,no_memory,0,1,0,0
RF42,mov5,-0.062153171,0.035470537,no_memory,0,1,0,1
RF42,mov50,-0.150878684,0.083828143,event_memory,1,1,1,1
RF42,mov51,-0.065184006,-0.066778753,no_memory,0,0,0,0
RF42,mov52,-0.067278419,0.061983554,no_memory,0,1,1,1
RF42,mov53,-0.184214662,0.15946562,scenery_memory,1,0,0,1
RF42,mov54,-0.133962465,0.275007189,scenery_memory,1,1,0,1
RF42,mov56,-0.122987845,0.162044941,scenery_memory,1,0,1,0
RF42,mov57,-0.103376866,0.098832577,scenery_memory,1,0,1,0
RF42,mov58,-0.138884708,-0.200200054,scenery_memory,1,1,0,0
RF42,mov59,-0.113915003,-0.073895129,event_memory,1,1,1,0
RF42,mov6,-0.088089439,-0.07553253,scenery_memory,1,0,0,1
RF42,mov60,-0.096439797,0.001552168,scenery_memory,1,0,0,1
RF42,mov8,-0.188264898,-0.04004391,scenery_memory,1,1,0,1
RF42,mov9,-0.066259141,0.142109162,event_memory,1,1,1,1
RL69,mov1,-0.053773011,-0.031351215,scenery_memory,1,0,1,0
RL69,mov10,-0.008937253,0.043372159,scenery_memory,1,0,0,1
RL69,mov11,-0.054324003,-0.201741695,scenery_memory,1,0,1,1
RL69,mov12,-0.049518443,0.309793682,event_memory,1,1,1,0
RL69,mov13,0.016172519,0.033813292,event_memory,1,1,1,0
RL69,mov14,-0.141498315,-0.012896289,scenery_memory,1,0,1,0
RL69,mov16,-0.06741352,-0.077777994,no_memory,0,0,1,0
RL69,mov19,-0.034048753,-0.100086577,event_memory,1,1,1,1
RL69,mov20,-0.138957629,0.016828914,scenery_memory,1,0,1,0
RL69,mov22,-0.046276133,-0.002448381,no_memory,0,1,0,1
RL69,mov24,-0.168985541,-0.007633967,scenery_memory,1,1,0,0
RL69,mov25,-0.047506708,-0.196984534,event_memory,1,1,1,1
RL69,mov26,-0.152721865,-0.127989767,scenery_memory,1,1,0,1
RL69,mov27,-0.021587308,0.29512913,event_memory,1,1,1,0
RL69,mov29,0.003401412,0.395950339,scenery_memory,1,1,0,1
RL69,mov3,0.012115581,0.052327631,no_memory,0,1,0,0
RL69,mov30,-0.121802945,0.088010558,no_memory,0,1,1,0
RL69,mov31,-0.05442476,0.020684219,event_memory,1,1,1,0
RL69,mov33,-0.069966635,-0.161506531,no_memory,0,0,0,1
RL69,mov35,-0.015292449,0.263037338,event_memory,1,1,1,1
RL69,mov36,0.054125318,0.100887506,no_memory,0,1,1,1
RL69,mov37,-0.003944964,0.048032112,scenery_memory,1,0,1,0
RL69,mov38,0.025038753,0.174642151,event_memory,1,1,1,1
RL69,mov39,0.08994528,0.065219415,scenery_memory,1,1,0,0
RL69,mov4,-0.178454624,0.31727787,scenery_memory,1,0,0,0
RL69,mov40,-0.001103947,0.150166255,scenery_memory,1,1,0,0
RL69,mov41,-0.082281925,-0.173723904,no_memory,0,1,0,1
RL69,mov42,-0.176410319,-0.177633654,event_memory,1,1,1,1
RL69,mov43,-0.010051638,-0.348352277,scenery_memory,1,1,0,1
RL69,mov44,0.002288504,0.054784988,scenery_memory,1,1,0,1
RL69,mov45,0.005553282,0.01290408,event_memory,1,1,1,1
RL69,mov46,-0.011969099,-0.061461154,scenery_memory,1,1,0,1
RL69,mov47,-0.026158028,0.069656565,no_memory,0,0,0,0
RL69,mov48,-0.069876705,-0.101135165,scenery_memory,1,0,0,0
RL69,mov5,-0.077610142,0.126339001,event_memory,1,1,1,0
RL69,mov50,-0.039483074,0.197824679,event_memory,1,1,1,0
RL69,mov51,0.00670816,0.169999092,event_memory,1,1,1,0
RL69,mov52,-0.158823095,0.352837478,event_memory,1,1,1,0
RL69,mov53,-0.025047213,-0.073186097,scenery_memory,1,1,0,0
RL69,mov54,0.01213797,0.06246324,event_memory,1,1,1,1
RL69,mov56,0.019176117,-0.112022784,no_memory,0,1,1,1
RL69,mov57,-0.026188051,0.016851993,scenery_memory,1,0,0,1
RL69,mov58,-0.024204005,-0.034075504,scenery_memory,1,0,0,1
RL69,mov59,-0.045176931,-0.036296286,event_memory,1,1,1,1
RL69,mov6,0.047677186,-0.021945991,scenery_memory,1,0,0,0
RL69,mov60,0.013154263,-0.066859957,no_memory,0,0,0,0
RL69,mov8,-0.06641625,0.057130917,scenery_memory,1,1,0,0
RL69,mov9,-0.059141394,-0.140551681,scenery_memory,1,1,0,1
TB29,mov1,-0.146893208,-0.009323746,no_memory,0,0,0,1
TB29,mov10,-0.064288968,0.04899584,no_memory,0,1,1,0
TB29,mov11,-0.12568445,-0.047458694,scenery_memory,1,0,1,1
TB29,mov12,-0.115031354,-0.021634467,scenery_memory,1,1,0,0
TB29,mov13,-0.03851634,0.013717503,no_memory,0,1,0,1
TB29,mov14,-0.119659945,-0.1122342,scenery_memory,1,0,0,1
TB29,mov16,-0.109032825,0.077426035,scenery_memory,1,0,1,1
TB29,mov19,-0.123169157,0.073551795,scenery_memory,1,0,0,0
TB29,mov20,-0.084947306,0.046758225,event_memory,1,1,1,1
TB29,mov22,-0.03861368,0.052768416,scenery_memory,1,0,0,1
TB29,mov24,-0.059160361,-0.076485763,event_memory,1,1,1,0
TB29,mov25,-0.074615564,-0.103667763,scenery_memory,1,0,0,0
TB29,mov26,-0.149690873,-0.073205756,scenery_memory,1,1,0,0
TB29,mov27,-0.150493153,0.316416124,event_memory,1,1,1,0
TB29,mov29,-0.155446473,0.245548288,scenery_memory,1,1,0,1
TB29,mov3,-0.055169071,0.272364808,scenery_memory,1,0,1,1
TB29,mov30,-0.017219741,0.088059221,event_memory,1,1,1,1
TB29,mov31,-0.072296056,0.024002699,scenery_memory,1,0,1,1
TB29,mov33,-0.106925235,-0.00370089,no_memory,0,1,0,1
TB29,mov35,-0.04494745,0.061937347,no_memory,0,1,0,0
TB29,mov36,-0.10513285,0.538637441,event_memory,1,1,1,0
TB29,mov37,-0.170389908,0.158661049,scenery_memory,1,0,0,1
TB29,mov38,-0.176942736,0.101443925,event_memory,1,1,1,0
TB29,mov39,-0.140834735,0.042758276,scenery_memory,1,0,0,0
TB29,mov4,-0.168070124,0.222965519,event_memory,1,1,1,1
TB29,mov40,-0.131654822,-0.001540173,event_memory,1,1,1,0
TB29,mov41,-0.098671268,0.191676496,no_memory,0,0,0,0
TB29,mov42,0.057535706,-0.173312943,no_memory,0,1,1,1
TB29,mov43,-0.133388036,0.358045223,event_memory,1,1,1,0
TB29,mov44,-0.122408241,-0.217726517,scenery_memory,1,0,1,1
TB29,mov45,-0.126416808,0.056865522,scenery_memory,1,0,1,0
TB29,mov46,-0.126931326,-0.082949431,scenery_memory,1,1,0,0
TB29,mov47,-0.102163124,0.276258679,scenery_memory,1,1,0,0
TB29,mov48,-0.038930935,0.140323986,no_memory,0,0,0,1
TB29,mov5,-0.137812062,0.342519651,scenery_memory,1,0,1,0
TB29,mov50,-0.136135515,0.068536365,no_memory,0,0,1,1
TB29,mov51,-0.074599371,-0.142310562,event_memory,1,1,1,0
TB29,mov52,-0.060022296,0.214662248,event_memory,1,1,1,1
TB29,mov53,-0.042086158,-0.079011345,scenery_memory,1,1,0,1
TB29,mov54,-0.126477459,0.177485295,scenery_memory,1,1,0,1
TB29,mov56,-0.07677353,0.181983223,event_memory,1,1,1,1
TB29,mov57,-0.084428913,0.132975394,no_memory,0,0,1,1
TB29,mov58,-0.047639042,0.121618203,scenery_memory,1,1,0,1
TB29,mov59,0.012203661,0.15693057,no_memory,0,1,1,1
TB29,mov6,-0.126845616,0.059665334,scenery_memory,1,1,0,0
TB29,mov60,-0.094929413,-0.074148066,scenery_memory,1,1,0,0
TB29,mov8,-0.149537972,0.205815901,scenery_memory,1,1,0,1
TB29,mov9,-0.184487436,0.138534266,scenery_memory,1,0,0,0
TL57,mov1,0.047088296,0.402716739,event_memory,1,1,1,0
TL57,mov10,-0.113159225,0.042904868,no_memory,0,1,1,1
TL57,mov11,0.059820769,0.197777164,event_memory,1,1,1,0
TL57,mov12,-0.084001291,0.079927237,event_memory,1,1,1,0
TL57,mov13,-0.049910053,0.224604972,scenery_memory,1,1,0,1
TL57,mov14,0.100554694,-0.226810924,scenery_memory,1,0,1,1
TL57,mov16,-0.010380858,-0.007741569,event_memory,1,1,1,1
TL57,mov19,0.018503108,0.068461554,event_memory,1,1,1,1
TL57,mov20,0.105576425,0.064911696,scenery_memory,1,0,1,0
TL57,mov22,-0.099608603,0.221180191,scenery_memory,1,1,0,1
TL57,mov24,0.033274963,0.048859348,scenery_memory,1,1,0,0
TL57,mov25,0.03427008,0.12152288,event_memory,1,1,1,1
TL57,mov26,-0.031564407,0.04807107,scenery_memory,1,0,0,0
TL57,mov27,0.028851697,0.310172018,event_memory,1,1,1,0
TL57,mov29,0.041430189,0.388121186,scenery_memory,1,1,0,0
TL57,mov3,0.084831593,0.361155204,event_memory,1,1,1,1
TL57,mov30,0.000774681,-0.118570678,event_memory,1,1,1,1
TL57,mov31,0.001522261,0.077587858,event_memory,1,1,1,0
TL57,mov33,-0.092204037,0.21948231,event_memory,1,1,1,0
TL57,mov35,0.028127702,-0.054163591,scenery_memory,1,1,0,1
TL57,mov36,0.008344298,0.114637559,event_memory,1,1,1,0
TL57,mov37,-0.050295327,0.249875432,scenery_memory,1,1,0,1
TL57,mov38,0.064834515,0.015096085,no_memory,0,1,1,0
TL57,mov39,-0.176408556,0.171153869,scenery_memory,1,1,0,0
TL57,mov4,0.051375271,0.495446262,event_memory,1,1,1,1
TL57,mov40,0.092444592,-0.010060861,no_memory,0,1,1,0
TL57,mov41,0.029608882,0.047079942,no_memory,0,1,0,0
TL57,mov42,-0.091946664,0.108513637,event_memory,1,1,1,0
TL57,mov43,-0.073975542,0.327985348,scenery_memory,1,0,0,0
TL57,mov44,0.03237086,-0.012275215,scenery_memory,1,0,0,0
TL57,mov45,-0.129745225,0.124895968,scenery_memory,1,0,0,1
TL57,mov46,0.0876042,0.063220717,event_memory,1,1,1,0
TL57,mov47,0.099184958,0.187426021,event_memory,1,1,1,0
TL57,mov48,-0.103997405,0.414493874,event_memory,1,1,1,0
TL57,mov5,0.053094345,0.010115368,no_memory,0,1,1,0
TL57,mov50,0.074356818,0.046949437,no_memory,0,1,1,0
TL57,mov51,0.117560684,0.134693523,no_memory,0,1,1,0
TL57,mov52,-0.07376395,0.326153137,event_memory,1,1,1,0
TL57,mov53,0.171114388,0.009255474,no_memory,0,1,0,0
TL57,mov54,-0.109843671,0.09005095,scenery_memory,1,0,0,1
TL57,mov56,-0.035743968,0.034617548,event_memory,1,1,1,0
TL57,mov57,0.017202825,0.197195358,no_memory,0,1,0,1
TL57,mov58,-0.005994231,-0.131723399,no_memory,0,1,0,0
TL57,mov59,0.023056691,0.251384524,event_memory,1,1,1,1
TL57,mov6,-0.056257894,0.168818589,scenery_memory,1,1,0,0
TL57,mov60,-0.017088404,0.162119325,no_memory,0,1,0,1
TL57,mov8,-0.086385991,0.108020146,scenery_memory,1,1,0,0
TL57,mov9,0.052311817,0.052267214,event_memory,1,1,1,0
TS39,mov1,-0.066243305,0.12937161,no_memory,0,1,1,0
TS39,mov10,-0.094348841,0.22593372,no_memory,0,1,1,1
TS39,mov11,-0.113170795,-0.160227577,scenery_memory,1,0,1,0
TS39,mov12,-0.100827258,-0.178401634,scenery_memory,1,0,0,1
TS39,mov13,0.086457849,0.255218156,no_memory,0,1,0,0
TS39,mov14,-0.049929181,-0.048232943,scenery_memory,1,0,0,1
TS39,mov16,-0.055578046,0.191021102,scenery_memory,1,1,0,1
TS39,mov19,-0.094112064,0.009819602,scenery_memory,1,1,0,1
TS39,mov20,-0.163560829,0.204569132,event_memory,1,1,1,1
TS39,mov22,-0.032493795,-0.005799081,no_memory,0,1,0,1
TS39,mov24,-0.019727285,-0.131124502,scenery_memory,1,0,0,1
TS39,mov25,-0.054652394,0.280557091,event_memory,1,1,1,1
TS39,mov26,-0.108935988,0.060963382,scenery_memory,1,0,0,1
TS39,mov27,-0.076129695,0.437408546,event_memory,1,1,1,1
TS39,mov29,-0.044898451,0.041508168,scenery_memory,1,1,0,0
TS39,mov3,-0.006888995,-0.010490715,scenery_memory,1,0,0,0
TS39,mov30,-0.079450631,0.005302217,event_memory,1,1,1,0
TS39,mov31,-0.071772968,0.022571934,event_memory,1,1,1,0
TS39,mov33,-0.141715441,0.426537649,scenery_memory,1,0,0,0
TS39,mov35,-0.095177257,-0.174660248,scenery_memory,1,1,0,0
TS39,mov36,-0.148843205,0.055318394,event_memory,1,1,1,0
TS39,mov37,-0.119176131,0.194074453,event_memory,1,1,1,1
TS39,mov38,-0.222382766,0.153239285,scenery_memory,1,0,0,1
TS39,mov39,-0.023509951,0.25269871,scenery_memory,1,1,0,1
TS39,mov4,-0.094737463,0.158415091,event_memory,1,1,1,1
TS39,mov40,-0.042745697,0.176094274,event_memory,1,1,1,1
TS39,mov41,-0.043998271,0.457081237,event_memory,1,1,1,1
TS39,mov42,-0.031958383,0.061750731,event_memory,1,1,1,1
TS39,mov43,-0.194299508,0.622735355,scenery_memory,1,0,0,1
TS39,mov44,-0.079803501,0.346681105,scenery_memory,1,0,1,1
TS39,mov45,-0.096476215,0.081743132,scenery_memory,1,0,0,1
TS39,mov46,-0.065177601,0.060743851,scenery_memory,1,1,0,0
TS39,mov47,-0.116838717,0.179466334,scenery_memory,1,1,0,0
TS39,mov48,-0.063645487,0.263371817,scenery_memory,1,0,1,0
TS39,mov5,-0.159801908,0.556243114,event_memory,1,1,1,0
TS39,mov50,-0.074371511,0.147136929,event_memory,1,1,1,1
TS39,mov51,-0.24632211,-0.142789813,event_memory,1,1,1,1
TS39,mov52,-0.052572755,0.287472801,scenery_memory,1,1,0,0
TS39,mov53,-0.170528702,0.333070812,scenery_memory,1,0,0,0
TS39,mov54,-0.082370717,0.17077383,event_memory,1,1,1,0
TS39,mov56,-0.038161001,0.105383351,event_memory,1,1,1,1
TS39,mov57,-0.097714904,0.203147521,scenery_memory,1,1,0,1
TS39,mov58,-0.121475053,0.10809984,scenery_memory,1,1,0,0
TS39,mov59,-0.064704794,-0.144225786,scenery_memory,1,0,1,1
TS39,mov6,-0.061937668,-0.012124362,scenery_memory,1,1,0,0
TS39,mov60,0.012114797,0.115111205,scenery_memory,1,0,0,1
TS39,mov8,-0.077386181,-0.052831062,scenery_memory,1,1,0,1
TS39,mov9,-0.128365246,0.190890799,scenery_memory,1,0,0,1
TW82,mov1,-0.035013167,-0.008921278,no_memory,0,0,1,0
TW82,mov10,-0.017666917,-0.085073157,no_memory,0,0,0,0
TW82,mov11,-0.103493485,0.10025409,scenery_memory,1,0,0,0
TW82,mov12,-0.062669461,-0.175795937,no_memory,0,1,0,0
TW82,mov13,0.007154122,0.021412828,no_memory,0,1,1,0
TW82,mov14,-0.058571827,0.315943764,event_memory,1,1,1,1
TW82,mov16,-0.160655703,-0.060228893,no_memory,0,1,1,1
TW82,mov19,-0.05782902,0.026777247,scenery_memory,1,0,0,1
TW82,mov20,-0.088332215,0.127526654,event_memory,1,1,1,1
TW82,mov22,-0.088076873,-0.150304981,scenery_memory,1,1,0,1
TW82,mov24,0.064177216,0.062796594,no_memory,0,1,0,0
TW82,mov25,-0.130028819,0.221732336,no_memory,0,1,0,1
TW82,mov26,-0.042923005,-0.135661227,scenery_memory,1,1,0,1
TW82,mov27,-0.085157707,0.3818356,event_memory,1,1,1,1
TW82,mov29,-0.076689023,0.119859615,scenery_memory,1,0,1,1
TW82,mov3,-0.114166557,0.266838754,scenery_memory,1,1,0,0
TW82,mov30,-0.072418517,-0.119210341,event_memory,1,1,1,1
TW82,mov31,-0.056234466,0.119260934,event_memory,1,1,1,0
TW82,mov33,-0.047472983,-0.010766223,no_memory,0,1,1,0
TW82,mov35,-0.068655076,0.13782095,event_memory,1,1,1,0
TW82,mov36,-0.060508362,0.535685201,event_memory,1,1,1,0
TW82,mov37,-0.047070005,0.305259415,scenery_memory,1,1,0,1
TW82,mov38,-0.020084855,0.090879487,scenery_memory,1,1,0,1
TW82,mov39,-0.031732948,0.161628931,no_memory,0,1,0,1
TW82,mov4,-0.076492556,0.360872536,no_memory,0,0,0,0
TW82,mov40,-0.082262407,0.049608563,no_memory,0,1,1,1
TW82,mov41,-0.020360689,-0.085868469,no_memory,0,1,0,0
TW82,mov42,-0.045221566,0.066907441,event_memory,1,1,1,0
TW82,mov43,-0.094286862,-0.377553807,scenery_memory,1,1,0,1
TW82,mov44,-0.11259343,0.054086149,event_memory,1,1,1,0
TW82,mov45,-0.09813849,0.432650067,no_memory,0,0,0,1
TW82,mov46,-0.034472173,0.298781752,scenery_memory,1,0,0,1
TW82,mov47,0.011702352,0.223186924,event_memory,1,1,1,0
TW82,mov48,-0.03222143,0.127067852,scenery_memory,1,0,0,1
TW82,mov5,-0.037247674,-0.138532467,no_memory,0,0,0,0
TW82,mov50,-0.046905736,0.454337355,event_memory,1,1,1,1
TW82,mov51,-0.071426893,0.0775079,no_memory,0,0,0,1
TW82,mov52,-0.031353002,0.024960193,no_memory,0,0,1,1
TW82,mov53,-0.036588274,0.210201499,scenery_memory,1,1,0,0
TW82,mov54,-0.055579118,0.059664291,event_memory,1,1,1,0
TW82,mov56,-0.002099029,0.194602262,no_memory,0,0,1,1
TW82,mov57,-0.136543612,-0.158585334,event_memory,1,1,1,1
TW82,mov58,-0.090505467,0.181679613,scenery_memory,1,1,0,1
TW82,mov59,-0.071960426,-0.285767043,event_memory,1,1,1,1
TW82,mov6,-0.056699217,-0.0335492,scenery_memory,1,0,0,0
TW82,mov60,0.000355062,-0.132502104,no_memory,0,1,0,0
TW82,mov8,-0.015236259,0.055884286,scenery_memory,1,1,0,1
TW82,mov9,-0.088668146,0.108775351,scenery_memory,1,0,0,1
UD25,mov1,-0.051755341,0.125045068,event_memory,1,1,1,1
UD25,mov10,-0.082683843,0.083998905,event_memory,1,1,1,1
UD25,mov11,-0.031800991,0.034883666,scenery_memory,1,0,1,1
UD25,mov12,-0.098496474,0.002953649,scenery_memory,1,0,0,0
UD25,mov13,-0.039181429,0.250524037,scenery_memory,1,1,0,1
UD25,mov14,-0.09310651,0.069823828,event_memory,1,1,1,1
UD25,mov16,-0.091726967,-0.089061009,event_memory,1,1,1,1
UD25,mov19,-0.083647469,0.12130411,scenery_memory,1,0,1,0
UD25,mov20,-0.061477846,-0.087038727,scenery_memory,1,1,0,0
UD25,mov22,-0.029170392,-0.009690951,no_memory,0,1,1,1
UD25,mov24,-0.055751904,-0.043342878,scenery_memory,1,1,0,1
UD25,mov25,-0.152705139,0.178479291,event_memory,1,1,1,0
UD25,mov26,-0.087677203,-0.140067288,scenery_memory,1,1,0,1
UD25,mov27,-0.14318456,0.518805136,event_memory,1,1,1,0
UD25,mov29,-0.125917149,0.093063704,event_memory,1,1,1,1
UD25,mov3,-0.074529249,0.137098492,scenery_memory,1,0,0,0
UD25,mov30,-0.017242314,0.039202834,no_memory,0,1,0,1
UD25,mov31,0.031218613,0.047205988,event_memory,1,1,1,1
UD25,mov33,-0.143964581,-0.109420312,scenery_memory,1,0,0,1
UD25,mov35,-0.085648515,-0.206353154,event_memory,1,1,1,1
UD25,mov36,-0.304327344,0.320081222,event_memory,1,1,1,0
UD25,mov37,0.038902607,0.288103912,scenery_memory,1,0,1,1
UD25,mov38,-0.111684549,-0.0549059,event_memory,1,1,1,0
UD25,mov39,-0.127912059,0.454886921,scenery_memory,1,1,0,0
UD25,mov4,-0.118551385,-0.049530997,event_memory,1,1,1,1
UD25,mov40,-0.064361117,-0.078000889,event_memory,1,1,1,0
UD25,mov41,-0.021939626,0.322333838,event_memory,1,1,1,0
UD25,mov42,-0.050096662,0.131767597,event_memory,1,1,1,1
UD25,mov43,-0.053431377,0.01992342,scenery_memory,1,0,0,1
UD25,mov44,-0.101848001,-0.191294662,event_memory,1,1,1,0
UD25,mov45,-0.083971119,0.106618618,event_memory,1,1,1,0
UD25,mov46,-0.062429125,0.021372954,event_memory,1,1,1,0
UD25,mov47,0.010024586,0.230676816,event_memory,1,1,1,1
UD25,mov48,-0.047107945,-0.095640944,event_memory,1,1,1,0
UD25,mov5,-0.186345177,0.444394672,event_memory,1,1,1,0
UD25,mov50,-0.04689601,0.069430501,scenery_memory,1,1,0,0
UD25,mov51,0.100058168,0.058020943,no_memory,0,1,1,0
UD25,mov52,-0.038645613,0.561898104,event_memory,1,1,1,0
UD25,mov53,-0.003092694,0.196610493,event_memory,1,1,1,1
UD25,mov54,-0.098362056,0.133380455,event_memory,1,1,1,1
UD25,mov56,0.018011566,0.161841984,event_memory,1,1,1,0
UD25,mov57,-0.079606154,0.196558791,scenery_memory,1,0,0,1
UD25,mov58,-0.087251503,0.272230202,scenery_memory,1,1,0,0
UD25,mov59,-0.033098656,0.164287089,scenery_memory,1,0,1,0
UD25,mov6,-0.159299426,0.113848191,scenery_memory,1,1,0,1
UD25,mov60,-0.147747293,-0.107025432,no_memory,0,0,0,1
UD25,mov8,-0.118843489,0.044896753,scenery_memory,1,1,0,0
UD25,mov9,-0.052018083,0.191837646,scenery_memory,1,0,0,1
YG31,mov1,-0.044762416,-0.01753885,scenery_memory,1,0,0,0
YG31,mov10,-0.033227837,-0.053320134,scenery_memory,1,0,0,0
YG31,mov11,-0.152145374,0.025138287,scenery_memory,1,0,0,0
YG31,mov12,-0.160400741,0.046403963,scenery_memory,1,0,1,0
